program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
Marketing,"Kim, W. C. & Mauborgne, R.",W. Chan Kim & Renee Mauborgne,2005,Blue ocean strategy : how to create uncontested market space and make the competition irrelevant,"Boston, Massachusetts : Harvard Business School Press",658.802 K49b 2005,T44306,Provides a systematic approach to making the competition irrelevant. It presents a proven analytical framework and the tools for successfully creating and capturing blue oceans.,	978-1-59139-619-2,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781591396192.gif
Marketing,"Naval, G. H.",Girly H. Naval,2021,Strategic marketing management : simplified moves for rookies,"Manila : Mindshapers Co., Inc",FIL 658.8 N318s 2021,T45006,"Intends to serve the instructors of business and marketing by providing discussions of some limited but very essential topics on strategic marketing management from mere investigation of the dynamic market setting; understanding of the customers; effectively segmenting; targeting and positioning company's product in the market; strategically using marketing tools such as marketing plan, product development plans, integrated marketing communications, distribution plans and management of global markets.",	978-6-214-06309-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214063093.gif
Marketing,"Altstiel, T., Grow, J. & Jennings, M.","Tom Altstiel, Jean Grow & Marcel Jennings",2020,"Advertising creative : strategy, copy, design. Fifth edition","Thousand Oaks, California : Sage",659.1 A463a 2020,T44741,"Continues to weave discussions about digital messaging through every chapter. The authors draw upon their experiences as working advertising professionals and teachers to get right to the point, stressing key principles and practical information that students and working professionals can use to communicate more effectively to build memorable brands.",	978-1-50638696-6,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781506386966.gif
Marketing,"Hackley, C. & Hackley, R. A.",Chris Hackley & Rungpaka Amy Hackley,2018,Advertising and promotion. 4th edition,London : Sage,659.1 H122a 2018,T44728,"Continues to provide students with a comprehensive insight into the world of advertising and promotional communications. Unique in its approach, the authors situate the key concepts of marketing communications from the perspective of advertising agencies and provide insight into what a career within an ad agency might be like. Their critical approach grounded in up-to-date research allows the reader to develop an interdisciplinary understanding of marketing and advertising, including business, socio-cultural, media studies and consumer culture theory perspectives. Along with striking full colour visual advertisements and illustrations, new examples and case studies, this fifth edition has been fully updated to include: Two brand new chapters on Social Media Advertising and Digital Advertising; Commentary on how the COVID-19 pandemic has and will impact advertising; The evolving role of advertising agencies in the post digital era; Emerging forms of advertising and promotion, including the role of influencers.",978-1-47399799-8,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781473997998.gif
Marketing,"Hammond, R.",Richard Hammond,2017,Smart retail : winning ideas and strategies from the most successful retailers in the world. Fourth edition,"Harlow, England : Pearson",658.87 H225s 2017,T44733,"Reveals what the most successful retailers in the world know and how you can apply their secrets to your own business. This book shows you how to use some of the best winning ideas, strategies and tactical thinking.",	978-1-29208220-2,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781292082202.gif
Marketing,"Singh, K.",Kavita Singh,2023,Social media mobile marketing : new age of commercially lucrative relationships,"Burlington, ON : Society Publishing",658.872 S617s 2023,T45184,"Intends for students who are interested in commercial, economics, political economy, sociology, and psychology as some to the issues that are discussed in this book may be relevant to social-cultural studies.",978-1-77469-399-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781774693995.gif
Management Technology,"Dionisio, C. S.",Cynthia Snyder Dionisio,2023,Hybrid project management,"Hoboken, New Jersey : John Wiley & Sons, Inc",658.404 D592h 2023,T44749,Offers practical guidance for combining waterfall and adaptive project management approaches. It also serves as an important guide to hybrid project management methods for project management professionals and academia. It is an invaluable resource for understanding the approach and effectively implementing it for better outcomes.,	978-1-11984972-8,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119849728.gif
Management Technology,"Hitt, M. A., Ireland, R. D. & Hoskisson, R. E.","Michael A. Hitt, R. Duane Ireland & Robert E. Hoskisson",2023,Strategic management : competitiveness and globalization : concepts and cases. Thirteenth edition,Singapore : Cengage Learning Asia Pte Ltd,658.4012 H676s 2023,T44871,"Presents a new, up-to-date standards for explaining the strategic management process and an intellectually rich yet thoroughly practical analysis of strategic management including cases of competitiveness and globalization.",978-9-81505975-5,
Management Technology,"Orcullo, N. A. Jr",Norberto A. Orcullo Jr.,2009,Principles of eCommerce/eBusiness : theories and applications,"Sampaloc, Manila : Rex Book Store, Inc",FIL 658.054678 O64p 2009,T44880,Covers some administrative aspects detailing the introduction of computers and electronic commerce movement in the Philippines along with the concept of eGovernment including discussions on the electronic commerce law (RA 8792).,	978-9-71235491-5 (.),
Management Technology,"Rivera, J. P. R.",John Paolo R. Rivera,2023,Statistical analysis with software applications. First edition,Manila : Rex Book Store,FIL 519.50285554 R621s 2023,T44862,Expects students will learn and apply statistical concepts and tools to data obtained from various sources that will allow them to formulate assumptions and hypothesis and then critically test them.,	978-6-210-44666-1,
