program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
Information Technology,"Pomperada, J. R. & Castellano, J. V.",Jake R. Pomperada and Jason V. Castellano.,2024.0,Introduction to artificial intelligence,Manila : Unlimited Books Library Services & Publishing Inc.,FIL 006.3 P788i 2024,T45685,"Serves as an introductory guide, providing readers with a comprehensive overview of the dynamic field of artificial intelligence (AI).",978-6-214-27181-8,"https://static.wixstatic.com/media/0a7f02_c5f6f32776ff4e29a3fab5b809309c79~mv2.jpg/v1/fill/w_1000,h_1396,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/0a7f02_c5f6f32776ff4e29a3fab5b809309c79~mv2.jpg"
Information Technology,"O'Leary, D. A., O'Leary, T. J. & O'Leary, L. I.","Daniel A. O'Leary, Timothy J. O'Leary and Linda I. O'Leary.",2023.0,Computing essentials: making IT work for you: introductory 2023,New York: McGraw-Hill,004 O45c 2023,T46069,"Provides basis for understanding the concepts necessary for success as it also endeavors to instill an appreciation for the effect of information technology on people, privacy, ethics, and our environment and to give you a basis for building the necessary skill set to succeed in the 21st century.",978-1-26526321-8,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781265263218.gif
Information Technology,"Tiwari, R.",Ramendra Tiwari.,2024.0,Education and information technology challenges. First edition,New Delhi (India): Venus Books,004.071 T523e 2024 ,T46567,"Provides an invaluable resource for educators in the field of information technology explaining that education is an important tool which is very useful in everybody's life.
",978-8-11992070-9,https://venusbooks.co.in/image/cache/catalog/9788119920709-800x800.jpg
Entertainment and Multimedia Co,"De Luna, A. A.",Alvin Albuero De Luna,2022.0,Introduction to virtual reality,"Burlington, ON: Arcler Press",FIL 006.8 D358i 2022,T45190,"Takes the readers through a brief introduction about virtual reality, focuses on the history of virtual reality, types of virtual reality and its development, systems of VR, its comparison with augmented reality (AR), human beings in the virtual environment (VE), benefits, and applications of VR along with its future.",978-1-77469-141-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781774691410.gif
Entertainment and Multimedia Co,"Chybowski, M.",Michael Chybowski,2024.0,What is lighting design? : a genealogy of people and ideas,New York ; London: Routledge,792.025 C564w 2024,T46535,Explains what lighting design is by looking at the history of ideas that are a part of this craft and how those ideas developed.,978-1-03211775-1,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032117751.gif
Entertainment and Multimedia Co,"Pugh, T. & Ramey, L. (Eds.)",Tison Pugh and Lynn Ramey,2022.0,Teaching games and game studies in the literature classroom,London: Bloomsbury Academic,418.00785 T253 2022,T46053,"Offers practical suggestions for educators looking to incorporate ludic media, ranging from novels to video games, form poems to board games, into their curricula.",978-1-35026975-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781350269750.gif
Entertainment and Multimedia Co,"Roberts, P.",Paul Roberts,2023.0,Artificial intelligence in games,Boca Raton: CRC Press,794.81526 R646a 2023,T46050,"”Covers all the necessary topics that a professional game AI programmer need to know, form math and steering behaviours to terrain analysis, pathfinding, decision making, and more. Written to be easily accessible, each topic is accompanied by an example game, where the reader can add their own code to see the effects their changes have. This book will be suitable for students and aspiring games programmers looking to gain a grounding in game AI techniques."" -- Provided by publisher.
",978-1-03203322-8,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032033228.gif
Entertainment and Multimedia Co,"Tremblay, K. ",Kaitlin Tremblay,2023.0,Collaborative worldbuilding for video games. First edition,"Boca Raton, FL: CRC Press",794.8 T789c 2023,T45972,Encourages mutual respect and collaboration among teams and provides game writers and narrative designers tools for effectively incorporating other job roles into their own worldbuilding practice and vice versa.,978-1-03238554-9,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032385549.gif
Entertainment and Multimedia Co,"Mitchell, B.",Ben Mitchell,2023.0,"Independent animation : developing, producing and distributing your animated films. Second edition",Boca Raton : CRC Press,777.7 M681i 2023 ,T46610,"Showcases some of the greatest, most innovative giants in the field and helps guide readers through the artistic process and production techniques. This book also allows readers to explore the changing nature of audiences, festivals, and distributor's relationships with animation and be granted first-hand guidance in navigating the diverse fields of animated filmmaking.
",978-1-03210310-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032103105.gif
Entertainment and Multimedia Co,"van Gumster, J.",Jason van Gumster,2024.0,Blender: all-in-one,"Hoboken, New Jersey : Wiley",006.696 V253b 2024,T46624,Provides readers with a trove of information for anyone who wants to create their own animations. This book provides essential materials for 3D creation.,978-1-39420404-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781394204045.gif
Architecture,"Badenduck, N.",Natalie Badenduck,2023.0,"Interior design concept : critical practices, processes and explorations in interior         architecture and design",New York : Routledge,729 B134i 2023,T44760,"Offers a reevaluation of current academic ideas about design methodologies and the nature of inspiration, alongside brand-new data from an international research study to help clarify what creativity really means in the modern world.",978-1-03208027-7,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032080277.gif
Architecture,"Charlesworth, E. & Fien, J.",Esther Charlesworth and John Fien,2023.0,Design for fragility: 13 stories of humanitarian architects,London : Routledge,720.47 C475d 2023,T44765,"Explores various designs that expands the nascent, but rapidly growing field of humanitarian architecture by exploring 13 design responses to such conflict and displacement across 11 countries, including Australia, Bangladesh, Fiji, India, Iran, Pakistan and USA.",,https://images.routledge.com/common/jackets/crclarge/978036755/9780367555375.jpg
Architecture,"Lalvani, H.",Haresh Lalvani,2023.0,Coding shaping making : experiments in form and form-making,New York : Routledge,721.01 L212C 2023,T44764,"Combines inspiration from architecture, mathematics, biology, chemistry, physics and computation to look towards the future of architecture, design and art. It presents ongoing experiments in the search for fundamental principles of form and from-making in nature so that we can better inform our built environment.",978-0-367-63879-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780367638795.gif
Architecture,"Beharrell, A. & Olcayto, R.",Andrew Beharrell and Rory Olcayto,2023.0,The deck access housing design guide : a return to streets in the sky,Routledge : London and New York,728.314094 B419d 2023,T44769,"Focuses on the contemporary use of deck access housing, sharing practical guidance and providing in-depth case studies, while also presenting historical context about this flexible and evolving housing type.",978-1-03221895-3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0NCI8KB38NZr4l3h1NmTvDKoBvOMC6OfQxSOBEsCAEQ&s=10
Architecture,"Tan, K.",Keith Tan,2011.0,Mission schools of Malaya,"Subang Jaya, Selangor, Malaysia : Taylor's Press",711.57 T161m 2011,T44154,"Highlights the importance of architecture and building conservation not just to individuals, but also to the cities and nations we all call home.",978-9-67017305-4,https://arecabooks.com/wp-content/uploads/2024/06/Mission_Schools_of_Malaya-1715156921.jpg
Architecture,"Anastassakis, Z. & Martins, M. ",Zoy Anastassakis and Marcos Martins,2022.0,Everyday acts of design : learning in a time of emergency,London : Bloomsbury Visual Arts,745.2071 A534e 2022,T45105,"""From 2016-2018, teachers and students at the State University of Rio de Janeiro, Brazil found themselves at the center of a crisis. A new right-wing government suspended payment of staff salaries and student scholarships and stopped funding basic maintenance. Through a multitude of voices, this book tells the story of how the university's design school reacted to the crisis: not with despondency or despair, but by embracing hope and promoting a series of radical teaching experiments. Case histories provide alternatives to conventional forms of design teaching, proving that education can be a site for democracy and the practice of freedom""-- Provided by publisher.",978-1-35016239-6,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781350162396.gif
Architecture,"Avila, M.",Martín Ávila,2022.0,Designing for interdependence : a poetics of relating,London : Bloomsbury Visual Arts,745.401 A958d 2022,T45107,"""Challenging the dominant design paradigm that centres humanity in its practice, Designing for Interdependence puts forward an ecocentric mode of designing that privileges a harmonious relationship between all life forms that share our planet. This book is about the practice of designing and design's capacity to relate (or not) to beings of all kinds, human and others, in ways that are life-affirming. Sensitive to power differentials and the responsibility that this entails, Martin Avila develops the notion of alter-natives, a concept that exposes the alterity of artificial things and the potential of these things to participate in the sustainment of natural environments. Proposing a design practice that encompasses humans, artificial things and other-than-human species in a 'poetics of relating', Avila provides practices that support the rewilding necessary to maintaining cultural and biological diversity and the stabilization of planetary dynamics. The book features real-life project case studies to illustrate some of the political-ecological implications of an ecocentric paradigm, which can help us to imagine alternative modes of relating to local environments and alternative modes of inter-species cohabitation. Avoiding dualistic thinking and the dichotomies harmful-benefit, construction-destruction, natural-artificial and life-death, Avila pursues the work of caring for how our mattering through design can become constructive in creating more-than-human ecologies""-- Provided by publisher.",978-1-35033738-1,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781350337381.gif
Architecture,"Barr, J.",John Barr,2022.0,20th century Japan in 20 buildings,London : Lund Humpries,725.23 B268t 2022,T45095,"There is a long history in the West of viewing Japan through the twin lenses of orientalism and exoticism. Following the Meiji Restoration of 1868 and the re-opening of Japan after a long period of self-imposed isolation there has been a succession of commentators who have sought to present Japan as somehow 'other' and not susceptible to ready understanding. Too often the study of Japanese architecture has followed this pattern or has been presented as a series of visual images that are explained as if they emerged from some unique alchemy of sensitivity and mysticism.0This book argues that Japanese modern architecture emerged from identifiable events: political, social, economic, historical events, and is as susceptible as any other architecture to analysis and criticism in these terms. Episodic rather than encyclopaedic, it does not describe every twist and turn in the development of modern Japanese architecture, but rather, it examines twenty buildings spanning the 20th century and places them in the context of the political, social and economic, as well as the historical and cultural factors that shaped both them and modern Japan. Each building has been chosen because it reflects a major event in the development of modern Japan and its architecture.
",978-1-84822-572-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781848225725.gif
Architecture,"Bellion, W. & Smentek, K. ",Wendy Bellion and Kristel Smentek,2023.0,"Material cultures of the global eighteenth century : art, mobility, and change",London : Bloomsbury Visual Arts,701.03 M425 2023,T45100,"""Things change. Broken and restored, reused and remade, objects transcend their earliest functions, locations, and appearances. While every era witnesses change, the eighteenth century experienced artistic, economic, and demographic transformations that exerted unique pressures on material cultures around the world. Locating material objects at the heart of such phenomena, Material Cultures of the Global Eighteenth Century expands beyond Eurocentric perspectives to discover the mobile, transcultural nature of eighteenth-century art worlds. From porcelain to betel leaves, Chumash hats to natural history cabinets, this book examines how objects embody imperialism, knowledge, and resistance in various ways. By embracing things both elite and everyday, this volume investigates physical and technological manipulations of objects while attending to the human agents who shaped them in an era of accelerating global contact and conquest. Featuring ten essays, the volume foregrounds diverse scholarly approaches to chart new directions for art history and cultural history. Ranging from California to China, Bengal to Britain, Material Cultures of the Global Eighteenth Century illuminates the transformations within and between artistic media, follows natural and human-made things as they migrate across territories, and reveals how objects catalyzed change in the transoceanic worlds of the early modern period""-- Provided by publisher.
",978-1-35025903-4,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781350259034.gif
Architecture,"Cubbin, T.",Tom Cubbin,2023.0,Soviet critical design : Senezh Studio and the communist surround,London : Bloomsbury Visual Arts,720.14 C962s 2023,T45102,"Soviet Critical Design is the first monograph to explore the socialist design practice of 'artistic projecteering', which was developed by the USSR's Senezh Experimental Studio in the 1960s. Tom Cubbin first examines the studio as a site for the development of the design discipline in the optimistic environment of the Soviet Thaw of the 1960s. He then explores how designers adapted to new realities of the Soviet Union of the 1970s and 80s. Over two decades, designers at the studio worked on critical projects that highlighted how the Soviet state's treatment of citizens, urban heritage and the environment was manifest in daily life. Drawing on previously unpublished visual material from private archives and also extensive interviews, this book presents a new history of the late socialist period in the USSR, which gives insight into the creative strategies of designers who engaged their practice as a contribution to broader discussions on alternative models for socialist existence. Overall, it argues that artistic projecteering must be read as a utopian activity which privileged the political and ideological over the functional.",978-1-35035348-0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2t77PKY9FZsPp479GEHzk40-tLdpRWDntUkuJwTPigA&s=10
